,Vdc,Idc,Pac
2019-08-07 09:15:00+00:00,591.0,31.0900001526,17646.0
2019-08-07 09:30:00+00:00,584.0,37.4199981689,21140.0
2019-08-07 09:45:00+00:00,566.0,64.75,35309.0
2019-08-07 10:00:00+00:00,547.0,64.4800033569,34527.0
2019-08-07 10:15:00+00:00,544.0,82.1699981689,43779.0
2019-08-07 10:30:00+00:00,531.0,80.6699981689,41937.0
2019-08-07 10:45:00+00:00,530.0,78.3300018311,40525.0
2019-08-07 11:00:00+00:00,534.0,75.2200012207,39331.0
2019-08-07 11:15:00+00:00,539.0,56.7400016785,30002.0
2019-08-07 11:30:00+00:00,537.0,73.5,38624.0
2019-08-07 11:45:00+00:00,533.0,82.7600021362,43095.0
2019-08-07 12:00:00+00:00,522.0,81.9199981689,41854.0
2019-08-07 12:15:00+00:00,517.0,70.3099975586,35607.0
2019-08-07 12:30:00+00:00,526.0,81.7600021362,41995.0
2019-08-07 12:45:00+00:00,511.0,71.0199966431,35259.0
2019-08-07 13:00:00+00:00,516.0,96.1699981689,48664.0
2019-08-07 13:15:00+00:00,503.0,104.0299987793,51292.0
2019-08-07 13:30:00+00:00,527.0,38.1800003052,19810.0
2019-08-07 13:45:00+00:00,520.0,98.9599990845,50471.0
2019-08-07 14:00:00+00:00,521.0,45.9500007629,23213.0
2019-08-07 14:15:00+00:00,547.0,31.7399997711,16970.0
2019-08-07 14:30:00+00:00,524.0,103.5199966431,53185.0
2019-08-07 14:45:00+00:00,505.0,98.5899963379,48951.0
2019-08-07 15:00:00+00:00,517.0,64.8899993896,32947.0
2019-08-07 15:15:00+00:00,530.0,43.4700012207,22580.0
2019-08-07 15:30:00+00:00,528.0,81.0199966431,41946.0
2019-08-07 15:45:00+00:00,525.0,43.9099998474,22447.0
2019-08-07 16:00:00+00:00,532.0,65.7200012207,34394.0
2019-08-07 16:15:00+00:00,539.0,19.3899993896,9988.0
2019-08-07 16:30:00+00:00,557.0,20.4500007629,10917.0
2019-08-07 16:45:00+00:00,562.0,21.7000007629,11736.0
2019-08-07 17:00:00+00:00,566.0,43.0900001526,23877.0
2019-08-07 17:15:00+00:00,559.0,31.9500007629,17488.0
2019-08-07 17:30:00+00:00,549.0,14.3000001907,7426.0
2019-08-07 17:45:00+00:00,565.0,19.8500003815,10808.0
2019-08-07 18:00:00+00:00,570.0,19.1499996185,10424.0
2019-08-07 18:15:00+00:00,562.0,14.5500001907,7774.0
2019-08-07 18:30:00+00:00,541.0,5.4699997902,2535.0
2019-08-07 18:45:00+00:00,514.0,2.2000000477,707.0
2019-08-07 19:00:00+00:00,506.0,1.9400000572,559.0
2019-08-07 19:15:00+00:00,486.0,1.4199999571,287.0
2019-08-07 19:30:00+00:00,559.0,-0.019999999600000002,-44.0
2019-08-08 05:00:00+00:00,488.0,0.0799999982,4.0
2019-08-08 05:15:00+00:00,579.0,0.050000000700000005,3.0
2019-08-08 05:30:00+00:00,483.0,1.2300000191,120.0
2019-08-08 05:45:00+00:00,527.0,2.2100000381,620.0
2019-08-08 06:00:00+00:00,548.0,2.7999999523,957.0
